sample	platform	fq1	fq2
189A	ILLUMINA	data/reads/189A.1.fastq.gz	data/reads/189A.2.fastq.gz
R-103	ILLUMINA	data/reads/R-103.1.fastq.gz	data/reads/R-103.2.fastq.gz
R-119	ILLUMINA	data/reads/R-119.1.fastq.gz	data/reads/R-119.2.fastq.gz
R-693	ILLUMINA	data/reads/R-693.1.fastq.gz	data/reads/R-693.2.fastq.gz
R-173	ILLUMINA	data/reads/R-173.1.fastq.gz	data/reads/R-173.2.fastq.gz
R-695	ILLUMINA	data/reads/R-695.1.fastq.gz	data/reads/R-695.2.fastq.gz
R-184	ILLUMINA	data/reads/R-184.1.fastq.gz	data/reads/R-184.2.fastq.gz
R-189	ILLUMINA	data/reads/R-189.1.fastq.gz	data/reads/R-189.2.fastq.gz
R-721	ILLUMINA	data/reads/R-721.1.fastq.gz	data/reads/R-721.2.fastq.gz
R-722	ILLUMINA	data/reads/R-722.1.fastq.gz	data/reads/R-722.2.fastq.gz
R-232	ILLUMINA	data/reads/R-232.1.fastq.gz	data/reads/R-232.2.fastq.gz
R-728-1	ILLUMINA	data/reads/R-728-1.1.fastq.gz	data/reads/R-728-1.2.fastq.gz
R-729	ILLUMINA	data/reads/R-729.1.fastq.gz	data/reads/R-729.2.fastq.gz
R-256	ILLUMINA	data/reads/R-256.1.fastq.gz	data/reads/R-256.2.fastq.gz
R-735	ILLUMINA	data/reads/R-735.1.fastq.gz	data/reads/R-735.2.fastq.gz
R-736	ILLUMINA	data/reads/R-736.1.fastq.gz	data/reads/R-736.2.fastq.gz
R-263	ILLUMINA	data/reads/R-263.1.fastq.gz	data/reads/R-263.2.fastq.gz
R-738	ILLUMINA	data/reads/R-738.1.fastq.gz	data/reads/R-738.2.fastq.gz
R-266	ILLUMINA	data/reads/R-266.1.fastq.gz	data/reads/R-266.2.fastq.gz
R-743	ILLUMINA	data/reads/R-743.1.fastq.gz	data/reads/R-743.2.fastq.gz
R-752	ILLUMINA	data/reads/R-752.1.fastq.gz	data/reads/R-752.2.fastq.gz
R-286	ILLUMINA	data/reads/R-286.1.fastq.gz	data/reads/R-286.2.fastq.gz
R-289-1	ILLUMINA	data/reads/R-289-1.1.fastq.gz	data/reads/R-289-1.2.fastq.gz
R-291	ILLUMINA	data/reads/R-291.1.fastq.gz	data/reads/R-291.2.fastq.gz
R-292	ILLUMINA	data/reads/R-292.1.fastq.gz	data/reads/R-292.2.fastq.gz
R-323	ILLUMINA	data/reads/R-323.1.fastq.gz	data/reads/R-323.2.fastq.gz
R-325-1	ILLUMINA	data/reads/R-325-1.1.fastq.gz	data/reads/R-325-1.2.fastq.gz
R-33	ILLUMINA	data/reads/R-33.1.fastq.gz	data/reads/R-33.2.fastq.gz
R-337	ILLUMINA	data/reads/R-337.1.fastq.gz	data/reads/R-337.2.fastq.gz
R-345-1	ILLUMINA	data/reads/R-345-1.1.fastq.gz	data/reads/R-345-1.2.fastq.gz
R-380	ILLUMINA	data/reads/R-380.1.fastq.gz	data/reads/R-380.2.fastq.gz
